order_item_id,order_id,product_id,quantity,unit_price,total_price
112,41,7,4,142.54,570.16
113,41,26,3,204.29,612.87
114,41,16,1,636.02,636.02
115,42,22,1,844.89,844.89
116,42,9,4,713.41,2853.64
117,42,18,4,480.18,1920.72
118,42,30,3,681.36,2044.08
119,43,18,5,480.18,2400.9
120,43,17,3,537.1,1611.3
121,44,15,5,316.02,1580.1
122,44,18,5,480.18,2400.9
123,44,7,2,142.54,285.08
124,44,1,5,786.16,3930.8
125,45,2,4,40.62,162.48
126,45,5,5,260.38,1301.9
127,45,25,3,888.54,2665.62
128,45,12,4,177.09,708.36
129,46,23,3,659.3,1977.9
130,46,27,5,216.77,1083.85
131,46,6,2,345.48,690.96
132,46,28,5,686.09,3430.45
133,47,23,5,659.3,3296.5
134,47,19,2,348.58,697.16
135,48,18,5,480.18,2400.9
136,49,6,2,345.48,690.96
137,49,19,5,348.58,1742.9
138,50,12,3,177.09,531.27
139,50,12,3,177.09,531.27
140,50,30,1,681.36,681.36
141,50,18,2,480.18,960.36
142,51,27,5,216.77,1083.85
143,51,2,4,40.62,162.48
144,52,26,5,204.29,1021.45
145,52,25,1,888.54,888.54
146,52,9,4,713.41,2853.64
147,53,14,4,542.46,2169.84
148,53,24,2,977.79,1955.58
149,53,14,2,542.46,1084.92
150,54,10,1,773.45,773.45
151,54,27,5,216.77,1083.85
152,54,21,5,463.23,2316.15
153,55,29,3,345.84,1037.52
154,55,17,5,537.1,2685.5
155,56,3,3,573.02,1719.06
156,56,12,2,177.09,354.18
157,57,11,2,725.21,1450.42
158,58,1,2,786.16,1572.32
159,58,25,1,888.54,888.54
160,58,7,2,142.54,285.08
161,58,14,2,542.46,1084.92
162,59,15,3,316.02,948.06
163,60,29,3,345.84,1037.52
164,61,2,3,40.62,121.86
165,61,16,3,636.02,1908.06
166,62,9,1,713.41,713.41
167,62,27,5,216.77,1083.85
168,62,2,1,40.62,40.62
169,63,10,4,773.45,3093.8
170,64,30,5,681.36,3406.8
171,64,2,5,40.62,203.1
172,65,12,2,177.09,354.18
173,65,5,1,260.38,260.38
174,66,3,1,573.02,573.02
175,66,15,1,316.02,316.02
176,66,9,1,713.41,713.41
177,67,30,2,681.36,1362.72
178,68,28,2,686.09,1372.18
179,68,23,2,659.3,1318.6
180,68,9,4,713.41,2853.64
181,68,6,4,345.48,1381.92
182,69,10,1,773.45,773.45
183,69,30,2,681.36,1362.72
184,69,1,3,786.16,2358.48
185,69,21,1,463.23,463.23
186,70,24,5,977.79,4888.95
187,70,30,3,681.36,2044.08
188,71,14,4,542.46,2169.84
189,71,11,2,725.21,1450.42
190,71,1,1,786.16,786.16
191,71,6,3,345.48,1036.44
192,72,24,4,977.79,3911.16
193,73,14,5,542.46,2712.3
194,73,9,5,713.41,3567.05
195,73,26,1,204.29,204.29
196,73,8,1,559.25,559.25
197,74,27,2,216.77,433.54
198,74,11,2,725.21,1450.42
199,74,9,1,713.41,713.41
200,74,17,4,537.1,2148.4
201,75,27,1,216.77,216.77
202,75,9,4,713.41,2853.64
203,76,27,1,216.77,216.77
204,76,9,3,713.41,2140.23
205,76,15,1,316.02,316.02
206,77,6,3,345.48,1036.44
207,77,8,4,559.25,2237.0
208,77,22,3,844.89,2534.67
209,77,4,5,26.58,132.9
210,78,16,2,636.02,1272.04
211,78,20,1,726.01,726.01
212,78,18,3,480.18,1440.54
213,78,23,3,659.3,1977.9
214,79,24,5,977.79,4888.95
215,79,12,1,177.09,177.09
216,80,12,5,177.09,885.45
217,81,11,5,725.21,3626.05
218,81,21,4,463.23,1852.92
219,81,25,3,888.54,2665.62
220,82,6,1,345.48,345.48
221,82,29,3,345.84,1037.52
222,82,3,3,573.02,1719.06
223,83,30,3,681.36,2044.08
224,83,6,3,345.48,1036.44
225,83,16,5,636.02,3180.1
226,84,19,3,348.58,1045.74
227,84,1,3,786.16,2358.48
228,85,23,3,659.3,1977.9
229,85,15,3,316.02,948.06
230,85,27,5,216.77,1083.85
231,86,9,5,713.41,3567.05
232,87,18,3,480.18,1440.54
233,87,29,2,345.84,691.68
234,88,28,2,686.09,1372.18
235,88,7,2,142.54,285.08
236,89,12,4,177.09,708.36
237,90,11,2,725.21,1450.42
238,90,27,5,216.77,1083.85
239,91,23,4,659.3,2637.2
240,91,25,2,888.54,1777.08
241,91,22,5,844.89,4224.45
242,92,26,2,204.29,408.58
243,93,2,4,40.62,162.48
244,93,10,2,773.45,1546.9
245,93,19,2,348.58,697.16
246,93,8,3,559.25,1677.75
247,94,1,1,786.16,786.16
248,94,6,2,345.48,690.96
249,95,10,2,773.45,1546.9
250,96,24,4,977.79,3911.16
251,97,29,1,345.84,345.84
252,98,15,5,316.02,1580.1
253,98,21,3,463.23,1389.69
254,98,24,3,977.79,2933.37
255,98,30,1,681.36,681.36
256,99,1,4,786.16,3144.64
257,99,8,3,559.25,1677.75
258,100,27,5,216.77,1083.85
259,100,19,1,348.58,348.58
260,100,20,2,726.01,1452.02
261,101,11,1,725.21,725.21
262,101,29,3,345.84,1037.52
263,101,22,3,844.89,2534.67
264,102,25,1,888.54,888.54
265,103,11,5,725.21,3626.05
266,103,15,1,316.02,316.02
267,104,15,4,316.02,1264.08
268,104,23,2,659.3,1318.6
269,105,9,5,713.41,3567.05
270,105,8,1,559.25,559.25
271,105,7,2,142.54,285.08
272,106,16,4,636.02,2544.08
273,106,11,3,725.21,2175.63
274,106,7,3,142.54,427.62
275,106,17,4,537.1,2148.4
276,107,20,5,726.01,3630.05
277,107,30,4,681.36,2725.44
278,107,2,5,40.62,203.1
279,107,30,5,681.36,3406.8
280,108,25,5,888.54,4442.7
281,108,8,4,559.25,2237.0
282,108,7,1,142.54,142.54
283,109,30,3,681.36,2044.08
284,110,26,5,204.29,1021.45
285,110,14,4,542.46,2169.84
286,111,7,4,142.54,570.16
287,112,29,1,345.84,345.84
288,112,7,1,142.54,142.54
289,113,14,3,542.46,1627.38
290,113,20,4,726.01,2904.04
291,114,29,2,345.84,691.68
292,114,30,4,681.36,2725.44
293,114,17,1,537.1,537.1
294,114,24,4,977.79,3911.16
295,115,7,5,142.54,712.7
296,115,20,1,726.01,726.01
297,116,13,3,616.88,1850.64
298,117,19,4,348.58,1394.32
299,117,23,4,659.3,2637.2
300,117,11,5,725.21,3626.05
301,118,12,2,177.09,354.18
302,118,2,1,40.62,40.62
303,118,20,4,726.01,2904.04
304,118,8,5,559.25,2796.25
305,119,10,5,773.45,3867.25
306,119,22,5,844.89,4224.45
307,119,27,2,216.77,433.54
308,120,15,5,316.02,1580.1
309,120,7,4,142.54,570.16
310,120,8,4,559.25,2237.0
311,121,22,4,844.89,3379.56
312,121,6,2,345.48,690.96
313,122,27,4,216.77,867.08
314,122,1,3,786.16,2358.48
315,122,30,4,681.36,2725.44
316,122,17,5,537.1,2685.5
317,123,16,4,636.02,2544.08
318,124,15,3,316.02,948.06
319,124,5,2,260.38,520.76
320,124,18,3,480.18,1440.54
321,125,30,3,681.36,2044.08
322,125,6,3,345.48,1036.44
323,125,16,2,636.02,1272.04
324,125,12,4,177.09,708.36
325,126,18,4,480.18,1920.72
326,126,13,3,616.88,1850.64
327,126,5,2,260.38,520.76
328,126,26,4,204.29,817.16
329,127,20,5,726.01,3630.05
330,127,5,1,260.38,260.38
331,128,24,3,977.79,2933.37
332,129,2,2,40.62,81.24
333,129,25,2,888.54,1777.08
334,129,1,4,786.16,3144.64
335,129,4,1,26.58,26.58
336,130,18,4,480.18,1920.72
337,130,29,2,345.84,691.68
338,131,24,1,977.79,977.79
339,131,25,2,888.54,1777.08
340,132,28,3,686.09,2058.27
341,133,9,1,713.41,713.41
342,133,14,2,542.46,1084.92
343,133,10,1,773.45,773.45
344,134,1,4,786.16,3144.64
345,135,13,5,616.88,3084.4
346,135,17,2,537.1,1074.2
347,135,11,4,725.21,2900.84
348,135,12,4,177.09,708.36
349,136,17,2,537.1,1074.2
350,137,28,1,686.09,686.09
351,137,5,3,260.38,781.14
352,137,26,4,204.29,817.16
353,138,20,4,726.01,2904.04
354,138,15,4,316.02,1264.08
355,138,23,5,659.3,3296.5
356,138,5,4,260.38,1041.52
357,139,10,2,773.45,1546.9
358,139,10,5,773.45,3867.25
359,140,30,3,681.36,2044.08
360,140,29,1,345.84,345.84
361,141,1,2,786.16,1572.32
362,142,17,5,537.1,2685.5
363,142,12,5,177.09,885.45
364,143,10,2,773.45,1546.9
365,144,1,1,786.16,786.16
366,144,22,5,844.89,4224.45
367,145,28,5,686.09,3430.45
368,145,6,1,345.48,345.48
369,145,14,3,542.46,1627.38
370,146,8,1,559.25,559.25
371,146,1,5,786.16,3930.8
372,146,30,2,681.36,1362.72
373,147,22,1,844.89,844.89
374,148,26,2,204.29,408.58
375,149,7,5,142.54,712.7
376,149,6,1,345.48,345.48
377,149,28,1,686.09,686.09
378,150,26,3,204.29,612.87
379,151,27,5,216.77,1083.85
380,151,18,1,480.18,480.18
381,151,14,3,542.46,1627.38
382,152,10,5,773.45,3867.25
383,152,21,1,463.23,463.23
384,153,21,1,463.23,463.23
385,153,24,3,977.79,2933.37
386,153,23,2,659.3,1318.6
387,154,13,1,616.88,616.88
388,154,4,3,26.58,79.74
389,155,10,2,773.45,1546.9
390,155,13,4,616.88,2467.52
391,155,27,5,216.77,1083.85
392,155,12,4,177.09,708.36
393,156,24,1,977.79,977.79
394,156,26,4,204.29,817.16
395,156,26,3,204.29,612.87
396,157,10,1,773.45,773.45
397,157,4,2,26.58,53.16
398,158,5,3,260.38,781.14
399,159,27,3,216.77,650.31
400,160,24,1,977.79,977.79
401,160,12,4,177.09,708.36
402,160,23,2,659.3,1318.6
403,161,22,2,844.89,1689.78
404,162,8,1,559.25,559.25
405,162,24,1,977.79,977.79
406,162,17,3,537.1,1611.3
407,163,6,2,345.48,690.96
408,163,28,2,686.09,1372.18
409,164,17,1,537.1,537.1
410,164,4,2,26.58,53.16
411,164,3,5,573.02,2865.1
412,164,8,4,559.25,2237.0
413,165,3,5,573.02,2865.1
414,166,9,4,713.41,2853.64
415,166,11,5,725.21,3626.05
416,167,21,1,463.23,463.23
417,168,2,1,40.62,40.62
418,169,14,4,542.46,2169.84
419,169,26,3,204.29,612.87
420,169,26,5,204.29,1021.45
421,170,20,2,726.01,1452.02
422,170,27,1,216.77,216.77
423,170,17,4,537.1,2148.4
424,170,20,2,726.01,1452.02
425,171,4,3,26.58,79.74
426,171,9,4,713.41,2853.64
427,172,9,5,713.41,3567.05
428,172,22,4,844.89,3379.56
429,172,5,2,260.38,520.76
430,173,6,4,345.48,1381.92
431,173,19,2,348.58,697.16
432,174,17,1,537.1,537.1
433,174,16,2,636.02,1272.04
434,174,8,5,559.25,2796.25
435,175,28,5,686.09,3430.45
436,175,17,4,537.1,2148.4
437,175,9,5,713.41,3567.05
438,175,7,4,142.54,570.16
439,176,18,5,480.18,2400.9
440,177,12,5,177.09,885.45
441,177,15,4,316.02,1264.08
442,177,23,1,659.3,659.3
443,178,26,5,204.29,1021.45
444,178,19,3,348.58,1045.74
445,178,11,1,725.21,725.21
446,178,17,5,537.1,2685.5
447,179,2,4,40.62,162.48
448,179,22,4,844.89,3379.56
449,180,16,5,636.02,3180.1
450,180,15,1,316.02,316.02
451,181,30,4,681.36,2725.44
452,181,13,1,616.88,616.88
453,181,18,2,480.18,960.36
454,181,8,2,559.25,1118.5
455,182,16,5,636.02,3180.1
456,182,5,4,260.38,1041.52
457,183,21,3,463.23,1389.69
458,183,21,2,463.23,926.46
459,183,7,5,142.54,712.7
460,184,6,1,345.48,345.48
461,184,2,2,40.62,81.24
462,184,6,5,345.48,1727.4
463,185,7,3,142.54,427.62
464,186,1,1,786.16,786.16
465,186,21,4,463.23,1852.92
466,187,26,2,204.29,408.58
467,187,30,4,681.36,2725.44
468,187,16,2,636.02,1272.04
469,188,25,1,888.54,888.54
470,189,27,3,216.77,650.31
471,189,5,1,260.38,260.38
472,189,20,5,726.01,3630.05
473,189,17,3,537.1,1611.3
474,190,12,1,177.09,177.09
475,190,3,5,573.02,2865.1
476,190,22,4,844.89,3379.56
477,191,18,5,480.18,2400.9
478,191,21,4,463.23,1852.92
479,192,11,5,725.21,3626.05
480,193,3,3,573.02,1719.06
481,193,15,4,316.02,1264.08
482,194,7,2,142.54,285.08
483,194,8,1,559.25,559.25
484,195,12,3,177.09,531.27
485,195,10,3,773.45,2320.35
486,195,15,4,316.02,1264.08
487,196,18,4,480.18,1920.72
488,196,13,2,616.88,1233.76
489,197,5,1,260.38,260.38
490,198,17,3,537.1,1611.3
491,198,12,2,177.09,354.18
492,198,4,1,26.58,26.58
493,199,2,1,40.62,40.62
494,199,3,2,573.02,1146.04
495,199,26,1,204.29,204.29
496,200,26,3,204.29,612.87
